Sigla;Código;Estado;Desocupados - homens (2012 T1);Desocupados - mulheres (2012 T1);Desocupados - homens (2026 T1);Desocupados - mulheres (2026 T1);uf_regiao;total;total_branca;total_preta_parda;homem_branca;homem_preta_parda;mulher_branca;mulher_preta_parda
AC;12;Acre;45,3;54,7;53,2;46,8;Acre;13.60690337671369;13.806928876144172;13.54139948217668;10.79611951522052;9.686983432771294;16.1303521772291;16.710754190497703
AL;27;Alagoas;44,7;55,3;50,7;49,3;Alagoas;20.217129217862883;19.165110530563343;20.56045091143339;12.121839201729413;13.357160103132525;24.09365507050202;25.85663667183645
AM;13;Amazonas;47,5;52,5;46,8;53,2;Amazonas;16.807290275773322;15.987545265382986;16.995493135592884;12.233042985186538;12.822583831568856;18.76496892946087;20.716985742764138
AP;16;Amapá;48,1;51,9;51,1;48,9;Amapá;13.586655516785198;14.389179586085232;13.415090901651022;11.116821139266662;10.749444347518734;16.648579119310984;15.908486964521487
BA;29;Bahia;43,8;56,2;44,7;55,3;Bahia;17.849775846054133;17.53800728818761;17.935565509686587;10.551672772449933;10.982807715803167;22.572730309609128;23.21711866039272
CE;23;Ceará;51,1;48,9;52,7;47,3;Ceará;19.499293202723454;18.52712025893335;19.88246947624766;12.1869359043862;12.821322884890337;23.01971801929348;24.952274394584315
DF;53;Distrito Federal;41;59;47,9;52,1;Distrito Federal;15.096351385206958;15.061306232340797;15.126295365257317;11.377952056532278;10.48127850646308;17.738122955968876;19.307332150587133
ES;32;Espírito Santo;46,4;53,6;47,5;52,5;Espírito Santo;17.111106290014998;16.51061040080639;17.478860974810548;11.798570553737287;12.01758940121433;20.464462204402455;22.19662612627663
GO;52;Goiás;41;59;47,5;52,5;Goiás;15.186470906303967;14.962621946523594;15.296966308087635;10.636424479563813;10.53188258611141;18.44084227089158;19.58791294541462
MA;21;Maranhão;47,2;52,8;49,1;50,9;Maranhão;16.669613629249437;16.421772992933004;16.708894232522002;11.665173028659641;11.437358563307932;19.881055597716813;20.739589463865233
MG;31;Minas Gerais;43,1;56,9;48,6;51,4;Minas Gerais;17.502140657103446;17.179387104799027;17.707564264398663;11.319719820609476;11.619119864290182;22.186649573498464;23.07575102417846
MS;50;Mato Grosso do Sul;47,2;52,8;45,3;54,7;Mato Grosso do Sul;15.30978326174933;14.902105246572587;15.567204371392664;10.446213222846051;11.126919833653625;18.593200409283902;19.542760765063782
MT;51;Mato Grosso;44,1;55,9;42,8;57,2;Mato Grosso;14.239988796112216;14.083512859770691;14.270209120477585;9.479653916089935;9.26573377241184;17.78282507308259;18.69592341626151
PA;15;Pará;43,2;56,8;48,3;51,7;Pará;16.474267546123745;16.181627441452303;16.560239071418533;11.524305695111753;11.026706647947272;19.83511037909987;21.59114395961539
PB;25;Paraíba;44,4;55,6;48,9;51,1;Paraíba;18.920816236791723;18.887919715772515;18.945305668271498;12.480203902738117;12.400830976038945;23.642936160273443;24.03564996438368
PE;26;Pernambuco;43,9;56,1;48,7;51,3;Pernambuco;19.306249435369693;18.95021915603188;19.41844397418518;12.312832904161557;12.868820994404892;23.357879549930814;24.243396112164618
PI;22;Piauí;51,2;48,8;55,1;44,9;Piauí;17.96036585313155;16.948093978695233;18.231789219427196;12.258323896952385;11.204813932569758;20.494063301640942;23.695440127732773
PR;41;Paraná;40,3;59,7;46,3;53,7;Paraná;15.390121730266973;15.453294577954063;15.307289019735006;11.240085015625805;10.815610653596337;18.896660816951027;19.365380113501597
RJ;33;Rio de Janeiro;44,2;55,8;45,4;54,6;Rio de Janeiro;16.716262536343233;16.097467231056072;17.24306012238315;12.000036320608368;12.8648960058147;19.20374122179168;20.9577281507692
RN;24;Rio Grande do Norte;51;49;48,2;51,8;Rio Grande do Norte;18.307739543439787;18.1018532253541;18.445217759316034;11.166908708656509;11.086286335612467;23.54708047658365;24.422884414750808
RO;11;Rondônia;43,4;56,6;33;67;Rondônia;17.01416153245271;16.727732747707623;17.101522950555427;12.111127154933977;12.544080001139763;20.412887467518654;21.06140972455808
RR;14;Roraima;41,8;58,2;43,4;56,6;Roraima;13.639257287604108;13.651754933744304;13.633606061626288;10.81480276756139;10.476600849484294;16.13587739390601;16.560244209124274
RS;43;Rio Grande do Sul;42,8;57,2;47,4;52,6;Rio Grande do Sul;15.356708913908161;15.33726946450538;15.4482026221633;11.308447309014376;11.51994061402787;18.868229981384417;19.10772032464248
SC;42;Santa Catarina;42,7;57,3;44,6;55,4;Santa Catarina;16.039355202256342;16.124416602869545;15.61623484596208;12.339051683667494;11.51734155305889;19.414764466838474;19.64657276473208
SE;28;Sergipe;46,5;53,5;40,3;59,7;Sergipe;18.82654148291451;17.264294368377296;19.31793424241001;10.83051051103208;11.270340688995512;21.740902359569553;25.6376808797929
SP;35;São Paulo;45,4;54,6;46,2;53,8;São Paulo;17.071295479298144;16.96443670165804;17.255480253186203;12.123044132004742;12.235199786897963;20.771186299514113;21.767620384905943
TO;17;Tocantins;55,3;44,7;46,2;53,8;Tocantins;15.815780560210031;15.701787621560204;15.768728059163092;10.733863088577145;11.68261640944594;19.66371281334849;19.629398524088177
